29.09.2020 12:50:52 [Thread-5] INFO  com.verbovskiy.task3.entity.state.impl.ArrivingState - Ship ship6 is in Port, Berth 2
29.09.2020 12:50:52 [Thread-5] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 1
29.09.2020 12:50:52 [Thread-5] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 0
29.09.2020 12:50:52 [Thread-5] INFO  com.verbovskiy.task3.entity.Storage - storage is empty
29.09.2020 12:50:52 [Thread-5] INFO  com.verbovskiy.task3.entity.state.impl.DepartingState - Ship ship6 left Port from the Berth 2
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.state.impl.ArrivingState - Ship ship7 is in Port, Berth 3
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 1
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 2
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 3
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 4
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 5
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 6
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 5
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 4
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 3
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 2
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 1
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 0
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.Storage - storage is empty
29.09.2020 12:50:52 [Thread-6] INFO  com.verbovskiy.task3.entity.state.impl.DepartingState - Ship ship7 left Port from the Berth 3
